,Partner,Wkt,Runs,In,Out,Inns,Opposition,Ground,Start Date,Match,Batsman,NO,Format
965,Shahid Afridi,2,2,1/1,2/3,2,West Indies,Sharjah,14 Feb 2002,1807,Younis Khan,False,ODI
966,Wasim Akram,5,13,4/172,5/185,2,Sri Lanka,Sharjah,12 Apr 2002,1829,Younis Khan,False,ODI
967,Faisal Iqbal,2,151,1/58,2/209,2,Zimbabwe,Harare,30 Nov 2002,1906,Younis Khan,False,ODI
968,Shahid Afridi,7,4,6/201,7/205,2,South Africa,Cape Town,18 Dec 2002,1923,Younis Khan,False,ODI
969,Inzamam-ul-Haq,4,3,3/78,4/81,4,Bangladesh,Multan,3 Sep 2003,1658,Younis Khan,False,Test
970,Mohammad Yousuf,3,42,2/100,3/142,1,South Africa,Lahore,3 Oct 2003,2046,Younis Khan,False,ODI
971,Yasir Hameed,3,26,2/29,3/55,2,India,Peshawar,19 Mar 2004,2115,Younis Khan,False,ODI
972,Shahid Afridi,7,12,6/240,7/252,2,Zimbabwe,Peshawar,3 Oct 2004,2184,Younis Khan,False,ODI
973,Inzamam-ul-Haq,6,16,5/265,6/281,2,India,Ahmedabad,12 Apr 2005,2238,Younis Khan,False,ODI
974,Yasir Hameed,2,1,1/0,2/1,4,West Indies,Bridgetown,26 May 2005,1752,Younis Khan,False,Test
975,Shahid Afridi,5,21,4/456,5/477,1,India,Lahore,13 Jan 2006,1781,Younis Khan,False,Test
976,Shoaib Malik,3,19,2/15,3/34,2,Sri Lanka,Colombo (RPS),19 Mar 2006,2352,Younis Khan,False,ODI
977,Inzamam-ul-Haq,4,48,3/399,4/447,2,England,Leeds,4 Aug 2006,1813,Younis Khan,False,Test
978,Imran Farhat,2,46,1/26,2/72,1,West Indies,Karachi,27 Nov 2006,1818,Younis Khan,False,Test
979,Shoaib Malik,4,2,3/62,4/64,1,South Africa,Johannesburg,2 Feb 2007,14,Younis Khan,False,T20I
980,Imran Nazir,5,82,4/170,5/252,1,Zimbabwe,Kingston,21 Mar 2007,2547,Younis Khan,False,ODI
981,Mohammad Yousuf,3,60,2/13,3/73,1,South Africa,Lahore,20 Oct 2007,2635,Younis Khan,False,ODI
982,Mohammad Yousuf,3,2,2/129,3/131,2,Zimbabwe,Hyderabad (Sind),24 Jan 2008,2663,Younis Khan,False,ODI
983,Salman Butt,2,0,1/75,2/75,1,Bangladesh,Dhaka,8 Jun 2008,2704,Younis Khan,False,ODI
984,Salman Butt,3,1,2/34,3/35,1,Sri Lanka,King City (NW),13 Oct 2008,76,Younis Khan,False,T20I
985,Umar Akmal,4,6,3/101,4/107,1,Sri Lanka,Dambulla,3 Aug 2009,2867,Younis Khan,False,ODI
986,Asad Shafiq,3,10,2/90,3/100,1,New Zealand,Christchurch,30 Dec 2010,195,Younis Khan,False,T20I
987,Misbah-ul-Haq,4,89,3/84,4/173,2,New Zealand,Napier,1 Feb 2011,3093,Younis Khan,False,ODI
988,Misbah-ul-Haq,3,52,2/74,3/126,1,Zimbabwe,Bulawayo,8 Sep 2011,3188,Younis Khan,False,ODI
989,Sohail Tanvir,8,22,7/234,8/256,1,Sri Lanka,Dubai (DSC),18 Nov 2011,3214,Younis Khan,False,ODI
990,Azhar Ali,3,5,2/40,3/45,2,Sri Lanka,Pallekele,3 Jul 2015,2169,Younis Khan,False,Test
991,DL Haynes,2,64,1/33,2/97,1,Australia,Melbourne,9 Jan 1992,699,BC Lara,False,ODI
992,CL Hooper,4,5,3/168,4/173,1,Australia,Brisbane,12 Jan 1992,703,BC Lara,False,ODI
993,WKM Benjamin,8,9,7/128,8/137,2,Australia,Melbourne,18 Mar 1992,749,BC Lara,False,ODI
994,DL Haynes,1,10,-,1/10,1,Pakistan,Sydney,17 Dec 1992,782,BC Lara,False,ODI
995,CL Hooper,5,33,4/448,5/481,2,Australia,Sydney,2 Jan 1993,1208,BC Lara,False,Test
996,CL Hooper,4,17,3/30,4/47,2,South Africa,Cape Town,17 Feb 1993,804,BC Lara,False,ODI
997,RIC Holder,4,68,3/95,4/163,1,New Zealand,Wellington,25 Jan 1995,973,BC Lara,False,ODI
998,SL Campbell,2,56,1/13,2/69,2,Sri Lanka,Sharjah,11 Oct 1995,1006,BC Lara,False,ODI
999,CL Hooper,3,44,2/87,3/131,1,South Africa,Lahore,3 Nov 1997,1249,BC Lara,False,ODI
1000,JR Murray,6,32,5/187,6/219,2,England,Bridgetown,29 Mar 1998,1299,BC Lara,False,ODI
1001,JC Adams,4,33,3/116,4/149,2,Australia,Port of Spain,5 Mar 1999,1448,BC Lara,False,Test
1002,WW Hinds,3,41,2/21,3/62,1,Sri Lanka,Sharjah,17 Oct 1999,1515,BC Lara,False,ODI
1003,JC Adams,4,138,3/164,4/302,3,England,Manchester,3 Aug 2000,1506,BC Lara,False,Test
1004,S Chanderpaul,2,53,1/18,2/71,2,South Africa,Port of Spain,12 May 2001,1717,BC Lara,False,ODI
1005,WW Hinds,2,2,1/34,2/36,2,New Zealand,Port Elizabeth,13 Feb 2003,1949,BC Lara,False,ODI
1006,CH Gayle,2,176,1/77,2/253,1,Zimbabwe,Bulawayo,22 Nov 2003,2065,BC Lara,False,ODI
1007,RR Sarwan,4,29,3/29,4/58,2,South Africa,Port Elizabeth,28 Jan 2004,2090,BC Lara,False,ODI
1008,RR Sarwan,3,31,2/201,3/232,1,Bangladesh,Southampton,15 Sep 2004,2175,BC Lara,False,ODI
1009,DJ Bravo,4,28,3/137,4/165,1,India,Port of Spain,28 May 2006,2382,BC Lara,False,ODI
1010,MN Samuels,4,24,3/48,4/72,1,Pakistan,Faisalabad,7 Dec 2006,2460,BC Lara,False,ODI
1011,MN Samuels,4,7,3/65,4/72,2,India,Vadodara,31 Jan 2007,2493,BC Lara,False,ODI
1012,MN Samuels,3,5,2/168,3/173,1,England,Bridgetown,21 Apr 2007,2578,BC Lara,False,ODI
1013,BC Lara,5,46,4/94,5/140,4,England,The Oval,31 Aug 2000,1509,RR Sarwan,False,Test
1014,JC Adams,5,1,4/59,5/60,1,Australia,Brisbane,23 Nov 2000,1516,RR Sarwan,False,Test
1015,RD Jacobs,6,34,5/299,6/333,3,South Africa,Georgetown,9 Mar 2001,1534,RR Sarwan,False,Test
1016,NC McGarrell,7,50,6/283,7/333,2,Zimbabwe,Harare,27 Jul 2001,1553,RR Sarwan,False,Test
1017,BC Lara,3,194,2/17,3/211,1,Sri Lanka,Colombo (SSC),29 Nov 2001,1572,RR Sarwan,False,Test
1018,CH Gayle,2,100,1/28,2/128,2,New Zealand,St George's,28 Jun 2002,1608,RR Sarwan,False,Test
1019,WW Hinds,5,10,4/236,5/246,1,Kenya,Colombo (SSC),17 Sep 2002,1879,RR Sarwan,False,ODI
1020,BC Lara,3,7,2/167,3/174,1,Sri Lanka,Bridgetown,8 Jun 2003,2023,RR Sarwan,False,ODI
1021,CH Gayle,3,1,2/253,3/254,1,Zimbabwe,Bulawayo,22 Nov 2003,2065,RR Sarwan,False,ODI
1022,MN Samuels,5,0,4/71,5/71,1,Zimbabwe,Bulawayo,23 Nov 2003,2066,RR Sarwan,False,ODI
1023,DR Smith,5,16,4/58,5/74,2,South Africa,Port Elizabeth,28 Jan 2004,2090,RR Sarwan,False,ODI
1024,DS Smith,2,40,1/5,2/45,2,New Zealand,Lord's,10 Jul 2004,2142,RR Sarwan,False,ODI
1025,RS Morton,3,26,2/67,3/93,2,Pakistan,Gros Islet,21 May 2005,2247,RR Sarwan,False,ODI
1026,RS Morton,4,69,3/64,4/133,2,New Zealand,Napier,1 Mar 2006,2342,RR Sarwan,False,ODI
1027,CH Gayle,2,37,1/1,2/38,2,Zimbabwe,St John's,29 Apr 2006,2368,RR Sarwan,False,ODI
1028,DR Smith,7,50,6/56,7/106,2,Australia,Kuala Lumpur,24 Sep 2006,2422,RR Sarwan,False,ODI
1029,MN Samuels,6,1,5/218,6/219,2,India,Ahmedabad,26 Oct 2006,2437,RR Sarwan,False,ODI
1030,S Chanderpaul,3,51,2/100,3/151,2,India,Kingston,26 Jun 2009,2852,RR Sarwan,False,ODI
1031,DJ Bravo,4,10,3/125,4/135,1,India,Gros Islet,3 Jul 2009,2854,RR Sarwan,False,ODI
1032,DM Bravo,3,49,2/45,3/94,1,Sri Lanka,Colombo (SSC),3 Feb 2011,3096,RR Sarwan,False,ODI
1033,LMP Simmons,2,65,1/0,2/65,1,India,North Sound,11 Jun 2011,3161,RR Sarwan,False,ODI
1034,Moin Khan,6,9,5/63,6/72,2,South Africa,Durban,3 Apr 1998,1303,Mohammad Yousuf,False,ODI
1035,Saeed Anwar,5,64,4/44,5/108,2,Sri Lanka,Benoni,15 Apr 1998,1317,Mohammad Yousuf,False,ODI
1036,Saleem Malik,4,2,3/41,4/43,1,Australia,Peshawar,8 Nov 1998,1368,Mohammad Yousuf,False,ODI
1037,Azhar Mahmood,6,0,5/160,6/160,1,Sri Lanka,Jamshedpur,19 Mar 1999,1411,Mohammad Yousuf,False,ODI
1038,Inzamam-ul-Haq,5,52,4/164,5/216,1,Australia,Leeds,23 May 1999,1458,Mohammad Yousuf,False,ODI
1039,Moin Khan,6,32,5/118,6/150,1,South Africa,Nottingham,5 Jun 1999,1474,Mohammad Yousuf,False,ODI
1040,Moin Khan,4,5,3/218,4/223,1,West Indies,Sharjah,14 Oct 1999,1513,Mohammad Yousuf,False,ODI
1041,Hasan Raza,4,26,3/131,4/157,1,Sri Lanka,Sharjah,15 Oct 1999,1514,Mohammad Yousuf,False,ODI
1042,Imran Abbas,3,11,2/101,3/112,2,Sri Lanka,Karachi,13 Feb 2000,1559,Mohammad Yousuf,False,ODI
1043,Moin Khan,5,3,4/57,5/60,2,Sri Lanka,Lahore,19 Feb 2000,1566,Mohammad Yousuf,False,ODI
1044,Inzamam-ul-Haq,4,46,3/62,4/108,1,India,Sharjah,23 Mar 2000,1578,Mohammad Yousuf,False,ODI
1045,Arshad Khan,10,7,9/161,10/168,1,South Africa,Sharjah,28 Mar 2000,1582,Mohammad Yousuf,False,ODI
1046,Moin Khan,5,17,4/136,5/153,2,Zimbabwe,St John's,5 Apr 2000,1586,Mohammad Yousuf,False,ODI
1047,Saleem Elahi,4,10,3/5,4/15,2,New Zealand,Christchurch,25 Feb 2001,1692,Mohammad Yousuf,False,ODI
1048,Azhar Mahmood,5,26,4/210,5/236,1,England,Birmingham,7 Jun 2001,1719,Mohammad Yousuf,False,ODI
1049,Inzamam-ul-Haq,3,13,2/47,3/60,1,Australia,Lord's,23 Jun 2001,1728,Mohammad Yousuf,False,ODI
1050,Abdul Razzaq,5,59,4/162,5/221,2,Bangladesh,Dhaka,9 Jan 2002,1584,Mohammad Yousuf,False,Test
1051,Saeed Anwar,3,0,2/17,3/17,1,Sri Lanka,Colombo (RPS),12 Sep 2002,1874,Mohammad Yousuf,False,ODI
1052,Younis Khan,5,129,4/90,5/219,1,Zimbabwe,Harare,1 Dec 2002,1907,Mohammad Yousuf,False,ODI
1053,Saqlain Mushtaq,8,6,7/190,8/196,1,South Africa,Paarl,16 Dec 2002,1921,Mohammad Yousuf,False,ODI
1054,Younis Khan,4,17,3/39,4/56,1,New Zealand,Dambulla,23 May 2003,2017,Mohammad Yousuf,False,ODI
1055,Mohammad Hafeez,3,23,2/116,3/139,2,England,Manchester,17 Jun 2003,2025,Mohammad Yousuf,False,ODI
1056,Yasir Hameed,2,120,1/62,2/182,1,Bangladesh,Multan,9 Sep 2003,2041,Mohammad Yousuf,False,ODI
1057,Yasir Hameed,2,90,1/2,2/92,2,New Zealand,Lahore,29 Nov 2003,2068,Mohammad Yousuf,False,ODI
1058,Saleem Elahi,3,72,2/72,3/144,1,New Zealand,Christchurch,10 Jan 2004,2078,Mohammad Yousuf,False,ODI
1059,Yasir Hameed,4,1,3/45,4/46,1,Sri Lanka,Colombo (RPS),21 Jul 2004,2150,Mohammad Yousuf,False,ODI
1060,Shoaib Malik,4,64,3/58,4/122,1,India,Amstelveen,21 Aug 2004,2157,Mohammad Yousuf,False,ODI
1061,Abdul Razzaq,6,72,5/107,6/179,2,West Indies,Adelaide,28 Jan 2005,2213,Mohammad Yousuf,False,ODI
1062,Shoaib Malik,7,21,6/279,7/300,1,West Indies,Perth,1 Feb 2005,2218,Mohammad Yousuf,False,ODI
1063,Shoaib Malik,3,85,2/68,3/153,1,India,Delhi,17 Apr 2005,2240,Mohammad Yousuf,False,ODI
1064,Inzamam-ul-Haq,4,36,3/97,4/133,1,West Indies,Kingstown,18 May 2005,2246,Mohammad Yousuf,False,ODI
1065,Inzamam-ul-Haq,5,38,4/234,5/272,1,England,Karachi,15 Dec 2005,2306,Mohammad Yousuf,False,ODI
1066,Younis Khan,3,242,2/181,3/423,3,India,Faisalabad,21 Jan 2006,1782,Mohammad Yousuf,False,Test
1067,Shoaib Malik,3,3,2/43,3/46,1,India,Rawalpindi,11 Feb 2006,2327,Mohammad Yousuf,False,ODI
1068,Younis Khan,3,16,2/52,3/68,4,England,Leeds,4 Aug 2006,1813,Mohammad Yousuf,False,Test
1069,Shoaib Malik,5,47,4/114,5/161,2,Sri Lanka,Jaipur,17 Oct 2006,2431,Mohammad Yousuf,False,ODI
1070,Kamran Akmal,5,26,4/207,5/233,1,Sri Lanka,Abu Dhabi,20 May 2007,2585,Mohammad Yousuf,False,ODI
1071,Younis Khan,3,18,2/20,3/38,1,South Africa,Multan,26 Oct 2007,2639,Mohammad Yousuf,False,ODI
1072,Salman Butt,3,32,2/72,3/104,2,India,Kanpur,11 Nov 2007,2645,Mohammad Yousuf,False,ODI
1073,Misbah-ul-Haq,3,38,2/223,3/261,1,India,Karachi,26 Jun 2008,2717,Mohammad Yousuf,False,ODI
1074,Shoaib Malik,6,75,5/219,6/294,2,Sri Lanka,Galle,4 Jul 2009,1921,Mohammad Yousuf,False,Test
1075,Misbah-ul-Haq,4,7,3/203,4/210,1,Sri Lanka,Colombo (SSC),20 Jul 2009,1927,Mohammad Yousuf,False,Test
1076,Khalid Latif,3,57,2/0,3/57,1,New Zealand,Abu Dhabi,3 Nov 2009,2921,Mohammad Yousuf,False,ODI
1077,Salman Butt,3,11,2/63,3/74,2,Australia,Hobart,14 Jan 2010,1947,Mohammad Yousuf,False,Test
1078,SM Gavaskar,1,40,-,1/40,3,Australia,Melbourne,30 Dec 1977,812,CPS Chauhan,False,Test
1079,JM Kemp,5,46,4/72,5/118,2,Asia XI,Durban,20 Aug 2005,2270,AB de Villiers,False,ODI
1080,HH Gibbs,4,92,3/96,4/188,1,West Indies,Jaipur,2 Nov 2006,2442,AB de Villiers,False,ODI
1081,AG Prince,5,36,4/84,5/120,4,India,Johannesburg,15 Dec 2006,1823,AB de Villiers,False,Test
1082,GC Smith,1,160,-,1/160,2,Australia,Basseterre,24 Mar 2007,2552,AB de Villiers,False,ODI
1083,MN van Wyk,1,2,-,1/2,1,India,Belfast,29 Jun 2007,2593,AB de Villiers,False,ODI
1084,SM Pollock,5,35,4/155,5/190,2,Zimbabwe,Bulawayo,22 Aug 2007,2612,AB de Villiers,False,ODI
1085,MV Boucher,6,16,5/243,6/259,1,Pakistan,Lahore,8 Oct 2007,1844,AB de Villiers,False,Test
1086,JP Duminy,4,5,3/77,4/82,2,England,The Oval,29 Aug 2008,2757,AB de Villiers,False,ODI
1087,HM Amla,3,30,2/131,3/161,2,Australia,Sydney,3 Jan 2009,1904,AB de Villiers,False,Test
1088,JP Duminy,4,12,3/145,4/157,2,Australia,Hobart,18 Jan 2009,2796,AB de Villiers,False,ODI
1089,JP Duminy,5,20,4/65,5/85,1,New Zealand,Lord's,9 Jun 2009,99,AB de Villiers,False,T20I
1090,HG Kuhn,6,24,5/214,6/238,1,England,Centurion,15 Nov 2009,125,AB de Villiers,False,T20I
1091,DW Steyn,7,1,6/253,7/254,1,India,Kolkata,14 Feb 2010,1952,AB de Villiers,False,Test
1092,DW Steyn,7,1,6/206,7/207,1,West Indies,Roseau,28 May 2010,2982,AB de Villiers,False,ODI
1093,CA Ingram,3,40,2/200,3/240,1,Zimbabwe,Bloemfontein,15 Oct 2010,3057,AB de Villiers,False,ODI
1094,MN van Wyk,3,57,2/31,3/88,2,India,Durban,9 Jan 2011,196,AB de Villiers,False,T20I
1095,F du Plessis,4,4,3/279,4/283,1,Netherlands,Mohali,3 Mar 2011,3115,AB de Villiers,False,ODI
1096,F du Plessis,5,0,4/121,5/121,2,New Zealand,Dhaka,25 Mar 2011,3144,AB de Villiers,False,ODI
1097,JP Duminy,4,41,3/152,4/193,2,Sri Lanka,East London,14 Jan 2012,3226,AB de Villiers,False,ODI
1098,JP Duminy,4,41,3/145,4/186,1,Pakistan,Birmingham,10 Jun 2013,3367,AB de Villiers,False,ODI
1099,JP Duminy,4,38,3/48,4/86,1,Sri Lanka,Hambantota,4 Aug 2013,324,AB de Villiers,False,T20I
1100,HM Amla,4,61,3/43,4/104,1,Pakistan,Abu Dhabi,14 Oct 2013,2098,AB de Villiers,False,Test
1101,F du Plessis,3,1,2/59,3/60,1,Zimbabwe,Bulawayo,19 Aug 2014,3508,AB de Villiers,False,ODI
1102,F du Plessis,4,24,3/96,4/120,1,Zimbabwe,Harare,4 Sep 2014,3524,AB de Villiers,False,ODI
1103,DW Steyn,8,8,7/207,8/215,2,Australia,Perth,14 Nov 2014,3545,AB de Villiers,False,ODI
1104,F du Plessis,3,68,2/40,3/108,2,India,Melbourne,22 Feb 2015,3610,AB de Villiers,False,ODI
1105,JP Duminy,4,58,3/63,4/121,2,England,Johannesburg,12 Feb 2016,3737,AB de Villiers,False,ODI
1106,F du Plessis,3,24,2/116,3/140,1,India,The Oval,11 Jun 2017,3886,AB de Villiers,False,ODI
1107,AK Markram,3,0,2/39,3/39,4,Australia,Durban,1 Mar 2018,2297,AB de Villiers,False,Test
1108,JM Brearley,1,0,-,1/0,1,New Zealand,Manchester,17 Jul 1978,53,GA Gooch,False,ODI
1109,DI Gower,4,1,3/137,4/138,2,Australia,Melbourne,8 Dec 1979,77,GA Gooch,False,ODI
1110,DI Gower,3,5,2/170,3/175,1,Australia,Melbourne,1 Feb 1980,872,GA Gooch,False,Test
1111,G Boycott,1,46,-,1/46,3,West Indies,Nottingham,5 Jun 1980,880,GA Gooch,False,Test
1112,G Boycott,1,60,-,1/60,1,West Indies,St John's,27 Mar 1981,901,GA Gooch,False,Test
1113,MA Atherton,1,28,-,1/28,2,West Indies,Lord's,27 May 1991,678,GA Gooch,False,ODI
1114,DA Reeve,5,81,4/182,5/263,3,New Zealand,Auckland,30 Jan 1992,1185,GA Gooch,False,Test
1115,AJ Stewart,1,71,-,1/71,1,Pakistan,The Oval,22 May 1992,757,GA Gooch,False,ODI
1116,DA Reeve,6,5,5/246,6/251,1,India,Gwalior,4 Mar 1993,813,GA Gooch,False,ODI
1117,KP Pietersen,3,63,2/47,3/110,1,India,Indore,15 Apr 2006,2362,IR Bell,False,ODI
1118,GO Jones,6,44,5/208,6/252,1,Sri Lanka,Chester-le-Street,24 Jun 2006,2386,IR Bell,False,ODI
1119,AJ Strauss,5,57,4/146,5/203,3,Pakistan,Lord's,13 Jul 2006,1809,IR Bell,False,Test
1120,JWM Dalrymple,5,68,4/98,5/166,1,Pakistan,Cardiff,30 Aug 2006,2408,IR Bell,False,ODI
1121,KP Pietersen,4,35,3/127,4/162,2,West Indies,Ahmedabad,28 Oct 2006,2439,IR Bell,False,ODI
1122,PD Collingwood,3,1,2/69,3/70,3,Australia,Adelaide,1 Dec 2006,1819,IR Bell,False,Test
1123,PD Collingwood,4,0,3/70,4/70,1,Australia,Brisbane,19 Jan 2007,2478,IR Bell,False,ODI
1124,PD Collingwood,4,26,3/86,4/112,1,Australia,Sydney,11 Feb 2007,2519,IR Bell,False,ODI
1125,KP Pietersen,3,90,2/11,3/101,2,Sri Lanka,North Sound,4 Apr 2007,2563,IR Bell,False,ODI
1126,OA Shah,4,29,3/148,4/177,1,West Indies,Lord's,1 Jul 2007,2594,IR Bell,False,ODI
1127,KP Pietersen,3,63,2/11,3/74,2,India,Lord's,8 Sep 2007,2620,IR Bell,False,ODI
1128,AN Cook,2,4,1/5,2/9,2,Sri Lanka,Galle,18 Dec 2007,1854,IR Bell,False,Test
1129,P Mustard,3,1,2/70,3/71,1,New Zealand,Christchurch,7 Feb 2008,54,IR Bell,False,T20I
1130,KP Pietersen,2,35,1/49,2/84,1,New Zealand,Chester-le-Street,15 Jun 2008,2708,IR Bell,False,ODI
1131,MJ Prior,1,6,-,1/6,2,India,Indore,17 Nov 2008,2777,IR Bell,False,ODI
1132,BA Stokes,4,42,3/89,4/131,2,India,The Oval,9 Sep 2011,3189,IR Bell,False,ODI
1133,AN Cook,1,158,-,1/158,1,India,Rajkot,11 Jan 2013,3318,IR Bell,False,ODI
1134,CR Woakes,5,36,4/170,5/206,4,Australia,The Oval,21 Aug 2013,2094,IR Bell,False,Test
1135,EJG Morgan,4,61,3/78,4/139,1,Australia,Brisbane,17 Jan 2014,3455,IR Bell,False,ODI
1136,BA Stokes,2,20,1/50,2/70,1,Australia,Sydney,19 Jan 2014,3457,IR Bell,False,ODI
1137,JC Buttler,5,18,4/120,5/138,1,India,Nottingham,30 Aug 2014,3520,IR Bell,False,ODI
1138,GS Ballance,3,32,2/20,3/52,3,West Indies,North Sound,13 Apr 2015,2157,IR Bell,False,Test
1139,Javed Miandad,2,0,1/89,2/89,1,Sri Lanka,Karachi,13 Jan 1992,704,Inzamam-ul-Haq,False,ODI
1140,Imran Khan,3,85,2/50,3/135,2,South Africa,Brisbane,8 Mar 1992,735,Inzamam-ul-Haq,False,ODI
1141,Moin Khan,8,9,7/205,8/214,1,Australia,Perth,11 Mar 1992,739,Inzamam-ul-Haq,False,ODI
1142,Ijaz Ahmed,6,4,5/201,6/205,2,Sri Lanka,Perth,15 Mar 1992,746,Inzamam-ul-Haq,False,ODI
1143,Javed Miandad,5,87,4/140,5/227,2,New Zealand,Auckland,21 Mar 1992,750,Inzamam-ul-Haq,False,ODI
1144,Aamer Sohail,5,21,4/41,5/62,4,England,Lord's,18 Jun 1992,1190,Inzamam-ul-Haq,False,Test
1145,Saleem Malik,4,33,3/27,4/60,2,England,Nottingham,20 Aug 1992,759,Inzamam-ul-Haq,False,ODI
1146,Waqar Younis,8,9,7/153,8/162,2,West Indies,Adelaide,12 Dec 1992,775,Inzamam-ul-Haq,False,ODI
1147,Javed Miandad,5,2,4/75,5/77,1,New Zealand,Auckland,30 Dec 1992,787,Inzamam-ul-Haq,False,ODI
1148,Javed Miandad,3,47,2/46,3/93,1,South Africa,Durban,9 Feb 1993,800,Inzamam-ul-Haq,False,ODI
1149,Javed Miandad,3,23,2/85,3/108,1,West Indies,Port of Spain,26 Mar 1993,824,Inzamam-ul-Haq,False,ODI
1150,Saeed Anwar,2,44,1/42,2/86,2,West Indies,Sharjah,1 Nov 1993,842,Inzamam-ul-Haq,False,ODI
1151,Aamer Sohail,2,3,1/28,2/31,1,Sri Lanka,Colombo (SSC),11 Sep 1994,925,Inzamam-ul-Haq,False,ODI
1152,Ijaz Ahmed,4,19,3/113,4/132,1,Australia,Multan,14 Oct 1994,929,Inzamam-ul-Haq,False,ODI
1153,Saeed Anwar,2,37,1/2,2/39,1,South Africa,Rawalpindi,20 Oct 1994,934,Inzamam-ul-Haq,False,ODI
1154,Saleem Malik,4,4,3/122,4/126,2,New Zealand,East London,19 Dec 1994,966,Inzamam-ul-Haq,False,ODI
1155,Aamer Sohail,3,60,2/52,3/112,1,South Africa,Karachi,29 Feb 1996,1067,Inzamam-ul-Haq,False,ODI
1156,Saleem Malik,5,28,4/173,5/201,1,New Zealand,Lahore,6 Mar 1996,1076,Inzamam-ul-Haq,False,ODI
1157,Saleem Malik,4,1,3/49,4/50,2,South Africa,Sharjah,13 Apr 1996,1095,Inzamam-ul-Haq,False,ODI
1158,Ijaz Ahmed,5,86,4/91,5/177,1,India,Toronto,21 Sep 1996,1118,Inzamam-ul-Haq,False,ODI
1159,Ijaz Ahmed,4,15,3/38,4/53,1,West Indies,Melbourne,20 Jan 1997,1166,Inzamam-ul-Haq,False,ODI
1160,Mohammad Wasim,4,6,3/34,4/40,1,Zimbabwe,Sharjah,9 Apr 1997,1196,Inzamam-ul-Haq,False,ODI
1161,Mushtaq Ahmed,10,2,9/212,10/214,1,Sri Lanka,Sharjah,11 Apr 1997,1198,Inzamam-ul-Haq,False,ODI
1162,Saleem Malik,5,63,4/102,5/165,2,Sri Lanka,Colombo (RPS),14 Jul 1997,1216,Inzamam-ul-Haq,False,ODI
1163,Wasim Akram,6,26,5/178,6/204,2,West Indies,Sharjah,12 Dec 1997,1260,Inzamam-ul-Haq,False,ODI
1164,Moin Khan,5,38,4/57,5/95,1,South Africa,Centurion,17 Apr 1998,1318,Inzamam-ul-Haq,False,ODI
1165,Aamer Sohail,3,22,2/65,3/87,2,Zimbabwe,Gujranwala,20 Nov 1998,1375,Inzamam-ul-Haq,False,ODI
1166,Azhar Mahmood,6,30,5/217,6/247,1,India,Bengaluru,4 Apr 1999,1428,Inzamam-ul-Haq,False,ODI
1167,Wajahatullah Wasti,4,5,3/45,4/50,1,India,Sharjah,13 Apr 1999,1435,Inzamam-ul-Haq,False,ODI
1168,Wasim Akram,6,14,5/216,6/230,1,Australia,Leeds,23 May 1999,1458,Inzamam-ul-Haq,False,ODI
1169,Mohammad Yousuf,5,7,4/111,5/118,1,South Africa,Nottingham,5 Jun 1999,1474,Inzamam-ul-Haq,False,ODI
1170,Mohammad Yousuf,3,97,2/121,3/218,1,West Indies,Sharjah,14 Oct 1999,1513,Inzamam-ul-Haq,False,ODI
1171,Shoaib Akhtar,8,50,7/197,8/247,1,Sri Lanka,Karachi,12 Mar 2000,1489,Inzamam-ul-Haq,False,Test
1172,Mohammad Yousuf,4,123,3/24,4/147,2,West Indies,St George's,16 Apr 2000,1592,Inzamam-ul-Haq,False,ODI
1173,Abdul Razzaq,3,7,2/14,3/21,1,New Zealand,Napier,20 Feb 2001,1690,Inzamam-ul-Haq,False,ODI
1174,Mohammad Yousuf,4,18,3/118,4/136,1,Sri Lanka,Sharjah,17 Apr 2002,1832,Inzamam-ul-Haq,False,ODI
1175,Saeed Anwar,3,8,2/90,3/98,1,India,Centurion,1 Mar 2003,1975,Inzamam-ul-Haq,False,ODI
1176,Younis Khan,4,40,3/35,4/75,1,South Africa,Rawalpindi,12 Oct 2003,2050,Inzamam-ul-Haq,False,ODI
1177,Abdul Razzaq,6,94,5/171,6/265,2,New Zealand,Wellington,17 Jan 2004,2083,Inzamam-ul-Haq,False,ODI
1178,Yasir Hameed,3,0,2/44,3/44,3,India,Multan,28 Mar 2004,1693,Inzamam-ul-Haq,False,Test
1179,Abdul Razzaq,3,40,2/89,3/129,2,India,Visakhapatnam,5 Apr 2005,2236,Inzamam-ul-Haq,False,ODI
1180,Kamran Akmal,6,23,5/346,6/369,1,England,Faisalabad,20 Nov 2005,1772,Inzamam-ul-Haq,False,Test
1181,Naved-ul-Hasan,8,90,7/546,8/636,2,England,Lahore,29 Nov 2005,1774,Inzamam-ul-Haq,False,Test
1182,Iftikhar Anjum,7,13,6/149,7/162,2,Sri Lanka,Kandy,3 Apr 2006,1796,Inzamam-ul-Haq,False,Test
1183,Iftikhar Anjum,9,11,8/198,9/209,2,India,Abu Dhabi,19 Apr 2006,2364,Inzamam-ul-Haq,False,ODI
1184,Mohammad Yousuf,4,18,3/204,4/222,1,South Africa,Durban,7 Feb 2007,2513,Inzamam-ul-Haq,False,ODI
1185,E Paynter,2,55,1/9,2/64,2,South Africa,Durban,3 Mar 1939,271,L Hutton,False,Test
1186,WJ Edrich,2,77,1/141,2/218,2,South Africa,Leeds,26 Jul 1947,288,L Hutton,False,Test
1187,C Washbrook,1,88,-,1/88,1,South Africa,Cape Town,1 Jan 1949,309,L Hutton,False,Test
